약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
OOPSLA,최우수,4,O,O,최우수,1.00,"ACM SIGPLAN International Conference on Object-Oriented Programming Systems, Languages, and Applications (OOPSLA)",conf/oopsla
Pacific Graphics,우수,2,,,우수,0.30,Pacific Conference on Computer Graphics and Applications (PG),conf/pg
PACT,최우수,3,O,O,최우수,0.95,International Conference on Parallel Architectures and Compilation Techniques (PACT),conf/IEEEpact
PAKDD,,1,,,,0.05,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),conf/pakdd
PAM,우수,,,,우수,0.20,International Conference on Passive and Active Measurement (PAM),conf/pam
PERCOM,우수,3,,O,우수,0.55,Annual IEEE International Conference on Pervasive Computing and Communications (PerCom),conf/percom
PERFORMANCE,,2,,,우수,0.20,"International Symposium on Computer Modeling, Measurement and Evaluation  (Performance)",conf/performance
PETS,우수,,,,우수,0.20,Proceedings on Privacy Enhancing Technologies (PoPETs),journals/popets
PKC,우수,,,,우수,0.20,International Conference on Theory and Practice of Public Key Cryptography (PKC),conf/pkc
PKDD,우수,,,,,0.10,European Conference on Machine Learning and Knowledge Discovery in Databases (PKDD),conf/pkdd
PLDI,최우수,4,O,O,최우수,1.00,ACM-SIGPLAN Symposium on Programming Language Design and Implementation (PLDI),conf/pldi
PODC,우수,3,O,O,우수,0.75,ACM Symposium on Principles of Distributed Computing (PODC),conf/podc
PODS,최우수,3,O,O,최우수,0.95,ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems (PODS),conf/pods
POPL,최우수,4,O,O,최우수,1.00,ACM-SIGACT Symposium on Principles of Programming Languages (POPL),conf/popl
PPoPP,최우수,3,O,O,최우수,0.95,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPoPP),conf/ppopp
PSB,우수,,,,,0.10,Pacific Symposium on Biocomputing (PSB),conf/psb
RAID,우수,2,,,우수,0.30,International Symposium on Recent Advances in Intrusion Detection (RAID),conf/raid
RE,우수,2,,,우수,0.30,IEEE International Requirements Engineering Conference (RE),conf/re
RECOMB,우수,1,O,O,,0.55,Annual International Conference on Research in Computational Molecular Biology (RECOMB),conf/recomb
RecSys,우수,1,,,우수,0.25,ACM Conference on Recommender Systems (RecSys),conf/recsys
RSS,우수,2,O,,,0.40,Robotics: Science and Systems Conference (RSS),conf/rss
RTAS,최우수,2,O,O,최우수,0.90,IEEE Real Time Technology and Applications Symposium (RTAS),conf/rtas
RTSS,최우수,4,O,O,최우수,1.00,IEEE Real-Time Systems Symposium (RTSS),conf/rtss
S&P,최우수,4,O,O,최우수,1.00,IEEE Symposium on Security and Privacy (SP),conf/sp
SAC,,1,,,,0.05,ACM Symposium on Applied Computing (SAC),conf/sac
SAS,우수,1,,,우수,0.25,International Static Analysis Symposium (SAS),conf/sas
SC,최우수,3,O,O,최우수,0.95,"International Conference for High Performance Computing, Networking, Storage and Analysis (SC)",conf/sc
SCA,우수,,,,우수,0.20,Symposium on Computer Animation (SCA),conf/sca
SDM,우수,2,,,우수,0.30,SIAM International Conference on Data Mining (SDM),conf/sdm
